VMM register dump (vmmdump)

CHIP ID         : VMM5310
CHIP family     : Panamera
Firmware version: 5.04.135
220C8Ch: 0x00000100 (256)
220C90h: 0x03FFE003 (67100675)
220C94h: 0x41200120 (1092616480)
220C98h: 0x00000000 (0)
220C9Ch: 0x00000010 (16)
220CA0h: 0x00003F00 (16128)
220CA4h: 0x00010000 (65536)
220CA8h: 0x03003FFE (50348030)
220CACh: 0x00000100 (256)
220CB0h: 0x00000000 (0)
220CB8h: 0x00000020 (32)
220CC4h: 0x00001000 (4096)
220CCCh: 0x00000000 (0)
220CD4h: 0x00000080 (128)
220CD8h: 0x00140014 (1310740)
220CDCh: 0x00000000 (0)
220CE0h: 0x00000000 (0)
220CE4h: 0x00000080 (128)
220CE8h: 0x00140014 (1310740)
220CECh: 0x00000000 (0)
220CF0h: 0x0000FFFF (65535)
220CF4h: 0x00000000 (0)
220CFCh: 0x00000000 (0)
220D00h: 0x01004002 (16793602)
220D04h: 0x00000000 (0)
220D08h: 0x00000000 (0)
220D0Ch: 0x00000000 (0)
220D10h: 0x00000000 (0)
220D14h: 0x00000000 (0)
220D18h: 0x0000009D (157)
220D1Ch: 0x00000BA7 (2983)
220D20h: 0x00008000 (32768)
220D24h: 0xFEEDB001 (-17977343)
220D28h: 0xFEEDB001 (-17977343)
220D30h: 0x00000008 (8)
220D34h: 0x00000A90 (2704)
220D38h: 0x5028A900 (1344841984)
220D3Ch: 0x00000000 (0)
220D40h: 0x00000000 (0)
220D44h: 0x00000000 (0)
220D48h: 0x298CEAC1 (697100993)
220D4Ch: 0x00000002 (2)
220D50h: 0x30298126 (808026406)
220D54h: 0x00000002 (2)
220D58h: 0x00000401 (1025)
220D5Ch: 0x00000000 (0)
220D60h: 0x00000000 (0)
220D64h: 0x00000000 (0)
220D68h: 0x00000000 (0)
220D6Ch: 0x00000000 (0)
220D70h: 0x000001FF (511)
220D74h: 0x000001FF (511)
220D78h: 0x00000000 (0)
220D7Ch: 0x00000438 (1080)
220D80h: 0x00000000 (0)
220D84h: 0x000000FF (255)
220D88h: 0x00000000 (0)
220D8Ch: 0x00000000 (0)
220D90h: 0x00000000 (0)
220D94h: 0x00010001 (65537)
220D98h: 0x00000003 (3)
220D9Ch: 0x00000001 (1)
220DA0h: 0x000000FF (255)
220DA4h: 0x00000000 (0)
220DA8h: 0x180003C0 (402654144)
220DACh: 0x00000002 (2)
220DB0h: 0x00000000 (0)
220DB4h: 0x00000000 (0)
220DB8h: 0x00000000 (0)
220E00h: 0x80000004 (-2147483644)
220E04h: 0x00000000 (0)
220E08h: 0x00000000 (0)
220E0Ch: 0x00000000 (0)
220E10h: 0x00000000 (0)
220E14h: 0x00000000 (0)
220E18h: 0x00000000 (0)
220E1Ch: 0x00000000 (0)
220E20h: 0x00000000 (0)
220E24h: 0x00000000 (0)
220E28h: 0x00000000 (0)
220E2Ch: 0x00000000 (0)
220E30h: 0x00000000 (0)
220E34h: 0x00000000 (0)
220E38h: 0x00000000 (0)
220E3Ch: 0x00000000 (0)
220E40h: 0x00000000 (0)
220E44h: 0x00000000 (0)
220E48h: 0x00000000 (0)
220E4Ch: 0x00000000 (0)
220E50h: 0x00000000 (0)
220E54h: 0x00000000 (0)
220E58h: 0x00000000 (0)
220E5Ch: 0x00000000 (0)
220E60h: 0x00000000 (0)
220E64h: 0x00000000 (0)
220E68h: 0x00000000 (0)
220E6Ch: 0x00000000 (0)
220E70h: 0x00000000 (0)
220E74h: 0x50008000 (1342210048)
220E78h: 0x00000000 (0)
220E7Ch: 0x00C80001 (13107201)
221000h: 0x5000008A (1342177418)
221004h: 0x00000003 (3)
221008h: 0x1C7305C9 (477300169)
22100Ch: 0x1AD405A0 (450102688)
221010h: 0x00F6FBEC (16186348)
221014h: 0x00A4F6B2 (10811058)
221018h: 0x00000000 (0)
221020h: 0x00002FCB (12235)
221024h: 0xC7000000 (-956301312)
221028h: 0x002FC888 (3131528)
22102Ch: 0x00008000 (32768)
221030h: 0x05C90AA0 (97061536)
221034h: 0x00260070 (2490480)
221038h: 0x05A00A00 (94374400)
22103Ch: 0x00050020 (327712)
221040h: 0x00400040 (4194368)
221044h: 0x05C90AA0 (97061536)
221048h: 0x00260070 (2490480)
22104Ch: 0x05A00A00 (94374400)
221050h: 0x00050020 (327712)
221054h: 0x0000000A (10)
221058h: 0xFFFF0000 (-65536)
22105Ch: 0x00000FFF (4095)
221060h: 0x00000FFF (4095)
221064h: 0x00000FFF (4095)
221068h: 0x00000000 (0)
22106Ch: 0x00000020 (32)
221070h: 0x00001221 (4641)
221074h: 0x00000000 (0)
221078h: 0x00000000 (0)
22107Ch: 0x766B788C (1986754700)
221080h: 0x000161E8 (90600)
221084h: 0x00000021 (33)
221088h: 0x0002285C (141404)
22108Ch: 0x00000100 (256)
221090h: 0x0550E003 (89186307)
221094h: 0x81000100 (-2130706176)
221098h: 0x032C0438 (53216312)
22109Ch: 0x00000010 (16)
2210A0h: 0x00002700 (9984)
2210A4h: 0x00010026 (65574)
2210A8h: 0x03003FFE (50348030)
2210ACh: 0x00000100 (256)
2210B0h: 0x00001F76 (8054)
2210B8h: 0x00000020 (32)
2210C4h: 0x00001000 (4096)
2210CCh: 0x00000000 (0)
2210D4h: 0x00000080 (128)
2210D8h: 0x00140014 (1310740)
2210DCh: 0x00000000 (0)
2210E0h: 0x00001C6A (7274)
2210E4h: 0x00000080 (128)
2210E8h: 0x00140014 (1310740)
2210ECh: 0x00000000 (0)
2210F0h: 0x00001C6A (7274)
2210F4h: 0x00000000 (0)
2210FCh: 0x00000000 (0)
221100h: 0x01004002 (16793602)
221104h: 0x00000000 (0)
221108h: 0x00000000 (0)
22110Ch: 0x00000000 (0)
221110h: 0x00000000 (0)
221114h: 0x00000000 (0)
221118h: 0x0000009D (157)
22111Ch: 0x000003E4 (996)
221120h: 0x00008000 (32768)
221124h: 0xFEEDB001 (-17977343)
221128h: 0xFEEDB001 (-17977343)
221130h: 0x00000808 (2056)
221134h: 0x00000A90 (2704)
221138h: 0x00000000 (0)
22113Ch: 0x00000000 (0)
221140h: 0x01020000 (16908288)
221144h: 0x00000000 (0)
221148h: 0x00801800 (8394752)
22114Ch: 0x00000002 (2)
221150h: 0x014E3050 (21901392)
221154h: 0x00000002 (2)
221158h: 0x00000201 (513)
22115Ch: 0x00000000 (0)
221160h: 0x00000000 (0)
221164h: 0x00000000 (0)
221168h: 0x00000000 (0)
22116Ch: 0x00000000 (0)
221170h: 0x000001FF (511)
221174h: 0x000001FF (511)
221178h: 0x00000000 (0)
22117Ch: 0x00000438 (1080)
221180h: 0x00000000 (0)
221184h: 0x0000003F (63)
221188h: 0x00000000 (0)
22118Ch: 0x00000000 (0)
221190h: 0x00000000 (0)
221194h: 0x00010001 (65537)
221198h: 0x00000003 (3)
22119Ch: 0x00000001 (1)
2211A0h: 0x000000FF (255)
2211A4h: 0x00000000 (0)
2211A8h: 0x08368A10 (137792016)
2211ACh: 0x00000002 (2)
2211B0h: 0x00000000 (0)
2211B4h: 0x00000000 (0)
2211B8h: 0x00000000 (0)
221200h: 0x80000004 (-2147483644)
221204h: 0x00000000 (0)
221208h: 0x00000000 (0)
22120Ch: 0x00000000 (0)
221210h: 0x00000000 (0)
221214h: 0x00000000 (0)
221218h: 0x00000000 (0)
22121Ch: 0x00000000 (0)
221220h: 0x00000000 (0)
221224h: 0x00000000 (0)
221228h: 0x00000000 (0)
22122Ch: 0x00000000 (0)
221230h: 0x00000000 (0)
221234h: 0x00000000 (0)
221238h: 0x00000000 (0)
22123Ch: 0x00000000 (0)
221240h: 0x00000000 (0)
221244h: 0x00000000 (0)
221248h: 0x00000000 (0)
22124Ch: 0x00000000 (0)
221250h: 0x00000000 (0)
221254h: 0x00000000 (0)
221258h: 0x00000000 (0)
22125Ch: 0x00000000 (0)
221260h: 0x00000000 (0)
221264h: 0x00000000 (0)
221268h: 0x00000000 (0)
22126Ch: 0x00000000 (0)
221270h: 0x00000000 (0)
221274h: 0x50008000 (1342210048)
221278h: 0x00000000 (0)
22127Ch: 0x00C80001 (13107201)
230000h: 0x001B000F (1769487)
230004h: 0x00401201 (4198913)
230008h: 0x00050008 (327688)
23000Ch: 0x00000000 (0)
230010h: 0x000054BB (21691)
230014h: 0x00000008 (8)
230018h: 0x00007C0A (31754)
23001Ch: 0x00000000 (0)
230020h: 0x01442805 (21243909)
230024h: 0x00000040 (64)
230028h: 0x013E0A0D (20843021)
23002Ch: 0x0000000D (13)
230034h: 0x00000000 (0)
230038h: 0x0000E830 (59440)
230054h: 0x00000000 (0)
230058h: 0x00006306 (25350)
23005Ch: 0x00000810 (2064)
230060h: 0x8004B200 (-2147175936)
230064h: 0x0000F000 (61440)
230068h: 0x542049C9 (1411402185)
23006Ch: 0x00000B0B (2827)
230070h: 0x00000000 (0)
230084h: 0x00140111 (1310993)
230088h: 0x00000600 (1536)
23008Ch: 0x00000075 (117)
2300A4h: 0x00140012 (1310738)
2300A8h: 0x00000080 (128)
2300ACh: 0x00000075 (117)
2300C4h: 0x50000000 (1342177280)
2300C8h: 0x987A1C93 (-1736827757)
2300CCh: 0x9879FA33 (-1736836557)
2300D0h: 0x00000000 (0)
2300D4h: 0x00000000 (0)
2300D8h: 0x0014751D (1340701)
2300DCh: 0x00000000 (0)
2300E0h: 0x00000000 (0)
2300E4h: 0x00000000 (0)
2300E8h: 0x01E21413 (31593491)
2300ECh: 0x00300001 (3145729)
2300F0h: 0x00000F02 (3842)
2300F4h: 0x00000110 (272)
2300F8h: 0x2A301FA4 (707796900)
2300FCh: 0x34BC2F76 (884748150)
230100h: 0x54603F48 (1415593800)
230104h: 0x00006978 (27000)
230108h: 0x00000000 (0)
23010Ch: 0x00000000 (0)
230110h: 0x00000000 (0)
230114h: 0x00000000 (0)
23011Ch: 0x01C50200 (29688320)
230120h: 0x00000000 (0)
230124h: 0x00000000 (0)
230128h: 0x00000000 (0)
23012Ch: 0x00000000 (0)
230130h: 0x00000000 (0)
230134h: 0x00000000 (0)
230138h: 0x00000000 (0)
23013Ch: 0x00000000 (0)
230140h: 0x00000000 (0)
230144h: 0x00000000 (0)
230148h: 0x00000000 (0)
23014Ch: 0x00000000 (0)
230150h: 0x00000002 (2)
230154h: 0x00000000 (0)
230158h: 0x00000000 (0)
23015Ch: 0x00000000 (0)
230160h: 0x00000000 (0)
230164h: 0x00000000 (0)
230168h: 0x00000000 (0)
23016Ch: 0x00001103 (4355)
230170h: 0x000000AA (170)
230174h: 0x01010044 (16842820)
230178h: 0x00000000 (0)
23017Ch: 0x00000000 (0)
230180h: 0x00000000 (0)
230184h: 0x00000001 (1)
2301A0h: 0x00000900 (2304)
300000h: 0x00000013 (19)
300030h: 0x30085749 (805853001)
300034h: 0x00F00017 (15728663)
300038h: 0x00000001 (1)
30003Ch: 0x00000002 (2)
300040h: 0x64441154 (1682182484)
300044h: 0x38047128 (939815208)
300048h: 0x0000000F (15)
30004Ch: 0x0F0F0000 (252641280)
300050h: 0x15000105 (352321797)
300054h: 0x00000001 (1)
300058h: 0x00003333 (13107)
30005Ch: 0x00000000 (0)
300060h: 0x000A2E00 (667136)
300064h: 0x053000F0 (87032048)
300070h: 0x000A2E00 (667136)
300074h: 0x053000F0 (87032048)
300080h: 0x000A2E00 (667136)
300084h: 0x053000F0 (87032048)
300090h: 0x000A2E00 (667136)
300094h: 0x023000F0 (36700400)
3000FCh: 0x00302200 (3154432)
300148h: 0x37301BC3 (925899715)
300200h: 0x00000324 (804)
300204h: 0x00000546 (1350)
300208h: 0x000002A3 (675)
30020Ch: 0x0F7807D0 (259524560)
300210h: 0x00000FA0 (4000)
300214h: 0x00001C20 (7200)
300218h: 0x07D002EE (131072750)
30021Ch: 0x00000000 (0)
300220h: 0x00030D40 (200000)
300224h: 0x00000000 (0)
300250h: 0x0000009E (158)
300258h: 0x00000001 (1)
30025Ch: 0x64081F00 (1678253824)
300260h: 0x00001B43 (6979)
300264h: 0x00000101 (257)
300268h: 0x00000070 (112)
300274h: 0x00000000 (0)
300278h: 0x00000000 (0)
300310h: 0x00000000 (0)
300314h: 0x00000000 (0)
300320h: 0x1001CE11 (268553745)
300324h: 0x01BDF52A (29226282)
300328h: 0x00000003 (3)
300330h: 0x00000011 (17)
300334h: 0x00000010 (16)
300338h: 0x5F503478 (1599091832)
30033Ch: 0x5F503482 (1599091842)
300340h: 0x00000050 (80)
300344h: 0x00000020 (32)
300348h: 0x00000101 (257)
30034Ch: 0x00000021 (33)
300350h: 0x00000001 (1)
300354h: 0x00000001 (1)
300358h: 0x0000041A (1050)
30035Ch: 0x00000000 (0)
300360h: 0x00000040 (64)
300364h: 0x00000008 (8)
300368h: 0x00000040 (64)
30036Ch: 0x00000008 (8)
300370h: 0x00000014 (20)
300374h: 0x00000014 (20)
300378h: 0x00000100 (256)
30037Ch: 0x000A0030 (655408)
3003A0h: 0x00000000 (0)
300480h: 0x00000000 (0)
300500h: 0x00020305 (131845)
300504h: 0x05460546 (88474950)
300508h: 0x00030008 (196616)
30050Ch: 0x0306073F (50726719)
300510h: 0x00000001 (1)
300514h: 0x00001C00 (7168)
300518h: 0x011E0402 (18744322)
300600h: 0x00000003 (3)
300604h: 0x00000000 (0)
300608h: 0x00000007 (7)
30060Ch: 0x00000000 (0)
300610h: 0x00000001 (1)
300614h: 0x00000000 (0)
300618h: 0x00000000 (0)
30061Ch: 0x00000004 (4)
300620h: 0x00000000 (0)
300624h: 0x00000180 (384)
300628h: 0x00000000 (0)
30062Ch: 0x00000000 (0)
300640h: 0x00000004 (4)
300648h: 0x00000000 (0)
30064Ch: 0x00000000 (0)
300650h: 0x00000000 (0)
300654h: 0x00000000 (0)
300658h: 0x00000000 (0)
30065Ch: 0x00000000 (0)
300660h: 0x00000000 (0)
300664h: 0x00000000 (0)
300668h: 0x00000000 (0)
30066Ch: 0x00000000 (0)
300680h: 0x00000821 (2081)
300684h: 0x00000000 (0)
300688h: 0x00000000 (0)
30068Ch: 0x00000000 (0)
300690h: 0x00000000 (0)
310000h: 0xC002801C (-1073577956)
310004h: 0x00000060 (96)
310008h: 0x018B02AA (25887402)
31000Ch: 0x028300E1 (42139873)
310010h: 0xFD5CFBBC (-44237892)
310014h: 0x3C1CF7FE (1008531454)
310018h: 0xBC1F537C (-1138797700)
31001Ch: 0x5C1CFBF7 (1545403383)
310020h: 0xFEFDDC7C (-16917380)
310024h: 0x003C9CDC (3972316)
31002Ch: 0x00000002 (2)
310030h: 0x08802FA4 (142618532)
310034h: 0x0C000000 (201326592)
310038h: 0xFFFF0100 (-65280)
31003Ch: 0x00000000 (0)
310040h: 0x00000000 (0)
310044h: 0x00000000 (0)
310048h: 0x04000400 (67109888)
31004Ch: 0x000000F8 (248)
310050h: 0x00E40A00 (14944768)
310054h: 0x00000000 (0)
310060h: 0x00000045 (69)
310064h: 0x0000E4E4 (58596)
310068h: 0x00000000 (0)
31006Ch: 0x00000000 (0)
310070h: 0x00000000 (0)
310074h: 0x00000000 (0)
310078h: 0x00000000 (0)
31007Ch: 0x00000000 (0)
310080h: 0x00000000 (0)
310084h: 0x00000000 (0)
310088h: 0x00000000 (0)
31008Ch: 0x00000000 (0)
310090h: 0x00000000 (0)
310094h: 0x00000000 (0)
310098h: 0x00000000 (0)
31009Ch: 0x00000000 (0)
3100A0h: 0x00000000 (0)
3100A4h: 0x00000000 (0)
3100A8h: 0x00000000 (0)
3100ACh: 0x000003F0 (1008)
3100B0h: 0x00081004 (528388)
3100B4h: 0x00004809 (18441)
3100B8h: 0x2040A000 (541106176)
3100BCh: 0x04008109 (67141897)
3100C0h: 0x02040200 (33817088)
3100C4h: 0xF0000807 (-268433401)
3100C8h: 0x00000000 (0)
3100CCh: 0x00000000 (0)
3100D0h: 0x00000000 (0)
3100D4h: 0x00000000 (0)
3100D8h: 0x00000005 (5)
3100DCh: 0x00000000 (0)
3100E0h: 0x00000000 (0)
3100E4h: 0x00000000 (0)
3100E8h: 0x00008000 (32768)
3100ECh: 0x00000000 (0)
3100F0h: 0x00000000 (0)
3100F4h: 0x97144020 (-1760280544)
3100F8h: 0xFFFF0000 (-65536)
3100FCh: 0x00000000 (0)
310100h: 0x00000000 (0)
310104h: 0x00000000 (0)
310108h: 0x01000270 (16777840)
31010Ch: 0x00010001 (65537)
310110h: 0x00001000 (4096)
310114h: 0x00000000 (0)
310118h: 0x00000010 (16)
310120h: 0x00007F50 (32592)
310124h: 0x02000001 (33554433)
310128h: 0x00000000 (0)
31012Ch: 0x00000000 (0)
310130h: 0x00000000 (0)
310134h: 0x00000001 (1)
310138h: 0x00000000 (0)
31013Ch: 0x00000000 (0)
310140h: 0x00000000 (0)
310144h: 0x00000000 (0)
310148h: 0x00000000 (0)
31014Ch: 0x00000000 (0)
310200h: 0x09020000 (151126016)
310204h: 0x000080C0 (32960)
310208h: 0x00000000 (0)
31020Ch: 0x001A0187 (1704327)
310210h: 0x00000000 (0)
310220h: 0x00040000 (262144)
310224h: 0x00000000 (0)
310228h: 0x00000000 (0)
31022Ch: 0x00000000 (0)
310230h: 0x00000000 (0)
310234h: 0x000F83E0 (1016800)
310248h: 0x00000000 (0)
310250h: 0x00190000 (1638400)
310264h: 0x00000000 (0)
310268h: 0x00000000 (0)
31026Ch: 0x00000000 (0)
310270h: 0x00000000 (0)
310274h: 0x00000000 (0)
310278h: 0xFFFD0018 (-196584)
31027Ch: 0xFFFFFFFE (-2)
310280h: 0x00019C00 (105472)
310284h: 0x00000000 (0)
310288h: 0x00000000 (0)
320000h: 0x00C80000 (13107200)
320004h: 0x00080000 (524288)
320008h: 0x00000000 (0)
32000Ch: 0x00000000 (0)
320010h: 0x00005490 (21648)
320014h: 0x00000008 (8)
320018h: 0x00007C0A (31754)
32001Ch: 0x00000000 (0)
320020h: 0x01447BC4 (21265348)
320024h: 0x00000040 (64)
320028h: 0x423E0A64 (1111362148)
32002Ch: 0x00000000 (0)
320034h: 0x00000000 (0)
320038h: 0x0000E830 (59440)
320054h: 0x00000000 (0)
320058h: 0x00006206 (25094)
32005Ch: 0x00000834 (2100)
320060h: 0xF0000000 (-268435456)
320064h: 0x0000F000 (61440)
320068h: 0xB02049C0 (-1340061248)
32006Ch: 0x00000000 (0)
320070h: 0x00000000 (0)
320084h: 0x00140010 (1310736)
320088h: 0xFEEDB001 (-17977343)
32008Ch: 0x00000014 (20)
3200A4h: 0x00140010 (1310736)
3200A8h: 0xFEEDB001 (-17977343)
3200ACh: 0x00000014 (20)
3200C4h: 0x50000000 (1342177280)
3200C8h: 0x00000000 (0)
3200CCh: 0x00000000 (0)
3200D0h: 0x00000000 (0)
3200D4h: 0x00000000 (0)
3200D8h: 0x0014751C (1340700)
3200DCh: 0x00000000 (0)
3200E0h: 0x00000000 (0)
3200E4h: 0x00000000 (0)
3200E8h: 0x01E21413 (31593491)
3200ECh: 0x00300001 (3145729)
3200F0h: 0x00000F02 (3842)
3200F4h: 0x00000110 (272)
3200F8h: 0x2A301FA4 (707796900)
3200FCh: 0x34BC2F76 (884748150)
320100h: 0x54603F48 (1415593800)
320104h: 0x00006978 (27000)
320108h: 0x00000000 (0)
32010Ch: 0x00000000 (0)
320110h: 0x00000000 (0)
320114h: 0x00000000 (0)
32011Ch: 0x01C50200 (29688320)
320120h: 0x00000000 (0)
320124h: 0x00000000 (0)
320128h: 0x00000000 (0)
32012Ch: 0x00000000 (0)
320130h: 0x00000000 (0)
320134h: 0x00000000 (0)
320138h: 0x00000000 (0)
32013Ch: 0x00000000 (0)
320140h: 0x00000000 (0)
320144h: 0x00000000 (0)
320148h: 0x00000000 (0)
32014Ch: 0x00000000 (0)
320150h: 0x00000002 (2)
320154h: 0x00000000 (0)
320158h: 0x00000000 (0)
32015Ch: 0x00000000 (0)
320160h: 0x00000000 (0)
320164h: 0x00000000 (0)
320168h: 0x00000000 (0)
32016Ch: 0x00001103 (4355)
320170h: 0x000000AA (170)
320174h: 0x00000000 (0)
320178h: 0x00000000 (0)
32017Ch: 0x00000000 (0)
320180h: 0x00000000 (0)
320184h: 0x00000000 (0)
330000h: 0x30002200 (805315072)
330004h: 0x002C0058 (2883672)
330008h: 0x00050004 (327684)
33000Ch: 0x0438045F (70779999)
330010h: 0x07800833 (125831219)
330014h: 0x000000C0 (192)
330018h: 0x01205800 (18896896)
330040h: 0x00000000 (0)
330044h: 0x00000000 (0)
330050h: 0x0024005C (2359388)
330054h: 0x04380780 (70780800)
330058h: 0x00000000 (0)
330070h: 0x00000000 (0)
330074h: 0x00000000 (0)
331000h: 0x00000000 (0)
331004h: 0x002A54A8 (2774184)
331008h: 0x00005000 (20480)
33100Ch: 0x00008402 (33794)
331010h: 0x000000F8 (248)
331014h: 0x00000000 (0)
331018h: 0x00000000 (0)
33102Ch: 0x00000000 (0)
331030h: 0x00000000 (0)
331034h: 0x00000002 (2)
331038h: 0x0000FFFF (65535)
33103Ch: 0x0000010A (266)
331040h: 0x00000000 (0)
331044h: 0x44170100 (1142358272)
331048h: 0x0012D632 (1234482)
33104Ch: 0x01010700 (16844544)
331050h: 0x0000000F (15)
331054h: 0x0000000F (15)
331058h: 0x0000000F (15)
33105Ch: 0x0000000F (15)
331060h: 0x00008100 (33024)
331064h: 0x00000800 (2048)
331400h: 0x00000000 (0)
331404h: 0x274CC1EF (659341807)
331408h: 0x00000000 (0)
33140Ch: 0x00000000 (0)
331410h: 0x00000000 (0)
331414h: 0x00000000 (0)
331418h: 0x00001000 (4096)
33141Ch: 0x00000002 (2)
331420h: 0x00E40300 (14942976)
331424h: 0x00008000 (32768)
331428h: 0x00000000 (0)
33142Ch: 0x00000000 (0)
331430h: 0x00001800 (6144)
331434h: 0x04000000 (67108864)
331438h: 0x00000000 (0)
33143Ch: 0x00000032 (50)
331440h: 0x00000002 (2)
331444h: 0x00000000 (0)
331448h: 0x00000000 (0)
340000h: 0x00000013 (19)
340030h: 0x00004048 (16456)
340034h: 0x0050000A (5242890)
340038h: 0x00000000 (0)
34003Ch: 0x0000000B (11)
340040h: 0x25041154 (621023572)
340044h: 0x7E040081 (2114191489)
340048h: 0x000F0F0F (986895)
34004Ch: 0x00000000 (0)
340050h: 0x11000106 (285212934)
340054h: 0x00000000 (0)
340058h: 0x00004444 (17476)
34005Ch: 0x00000000 (0)
340060h: 0x00001BCC (7116)
340064h: 0x373000C3 (925892803)
340070h: 0x00001BCC (7116)
340074h: 0x373000C3 (925892803)
340080h: 0x00001BCC (7116)
340084h: 0x373000C3 (925892803)
340090h: 0x00001BCC (7116)
340094h: 0x373000C3 (925892803)
3400FCh: 0x00302200 (3154432)
340148h: 0x37301BC3 (925899715)
340200h: 0x00000024 (36)
340204h: 0x00000546 (1350)
340208h: 0x000002A3 (675)
34020Ch: 0x0F7807D0 (259524560)
340210h: 0x00000FA0 (4000)
340214h: 0x00001C20 (7200)
340218h: 0x07D002EE (131072750)
34021Ch: 0x00000000 (0)
340220h: 0x00030D40 (200000)
340224h: 0x00000000 (0)
340250h: 0x0000009E (158)
340258h: 0x00000000 (0)
34025Ch: 0x64081F04 (1678253828)
340260h: 0x00001B43 (6979)
340264h: 0x00001000 (4096)
340268h: 0x00000000 (0)
340274h: 0x00000000 (0)
340278h: 0x00000000 (0)
340310h: 0x00000000 (0)
340314h: 0x00000000 (0)
340320h: 0x4001E112 (1073864978)
340324h: 0x01800000 (25165824)
340328h: 0x00000000 (0)
340330h: 0xFFFFFFFF (-1)
340334h: 0x0000FFFF (65535)
340338h: 0x00000000 (0)
34033Ch: 0x00000000 (0)
340340h: 0x00010000 (65536)
340344h: 0x00001000 (4096)
340348h: 0x00010000 (65536)
34034Ch: 0x00001000 (4096)
340350h: 0x00001000 (4096)
340354h: 0x00001000 (4096)
340358h: 0x00001000 (4096)
34035Ch: 0x00000000 (0)
340360h: 0x00010000 (65536)
340364h: 0x00001000 (4096)
340368h: 0x00010000 (65536)
34036Ch: 0x00010000 (65536)
340370h: 0x00001000 (4096)
340374h: 0x00001000 (4096)
340378h: 0x00010000 (65536)
34037Ch: 0x00020010 (131088)
3403A0h: 0x00000000 (0)
340480h: 0x00000000 (0)
340500h: 0x00020305 (131845)
340504h: 0x00210021 (2162721)
340508h: 0x00030008 (196616)
34050Ch: 0x0300003F (50331711)
340510h: 0x00000001 (1)
340514h: 0x00000800 (2048)
340518h: 0x011F0402 (18809858)
340600h: 0x00000000 (0)
340604h: 0x00000000 (0)
340608h: 0x00000000 (0)
34060Ch: 0x00000000 (0)
340610h: 0x00000001 (1)
340614h: 0x00000000 (0)
340618h: 0x00000000 (0)
34061Ch: 0x00000000 (0)
340620h: 0x00000000 (0)
340624h: 0x00000000 (0)
340628h: 0x00000000 (0)
34062Ch: 0x00000000 (0)
340640h: 0x00000004 (4)
340648h: 0x00000000 (0)
34064Ch: 0x00000000 (0)
340650h: 0x00000000 (0)
340654h: 0x00000000 (0)
340658h: 0x00000000 (0)
34065Ch: 0x00000000 (0)
340660h: 0x00000000 (0)
340664h: 0x00000000 (0)
340668h: 0x00000000 (0)
34066Ch: 0x00000000 (0)
340680h: 0x00000821 (2081)
340684h: 0x00000000 (0)
340688h: 0x00000000 (0)
34068Ch: 0x00000000 (0)
340690h: 0x00000000 (0)
350000h: 0xC002801C (-1073577956)
350004h: 0x00000060 (96)
350008h: 0x018B02AA (25887402)
35000Ch: 0x028300E1 (42139873)
350010h: 0xFD5CFBBC (-44237892)
350014h: 0x3C1CF7FE (1008531454)
350018h: 0xBC1F537C (-1138797700)
35001Ch: 0x5C1CFBF7 (1545403383)
350020h: 0xFEFDDC7C (-16917380)
350024h: 0x003C9CDC (3972316)
35002Ch: 0x00000002 (2)
350030h: 0x08802FA2 (142618530)
350034h: 0x0C000000 (201326592)
350038h: 0xFFFF0100 (-65280)
35003Ch: 0x00000000 (0)
350040h: 0x00000000 (0)
350044h: 0x00000000 (0)
350048h: 0x04000400 (67109888)
35004Ch: 0x000000F8 (248)
350050h: 0x00E4000F (14942223)
350054h: 0x00000000 (0)
350060h: 0x00000045 (69)
350064h: 0x0000E4E4 (58596)
350068h: 0x00000000 (0)
35006Ch: 0x00000000 (0)
350070h: 0x00000000 (0)
350074h: 0x00000000 (0)
350078h: 0x00000000 (0)
35007Ch: 0x00000000 (0)
350080h: 0x00000000 (0)
350084h: 0x00000000 (0)
350088h: 0x00000000 (0)
35008Ch: 0x00000000 (0)
350090h: 0x00000000 (0)
350094h: 0x00000000 (0)
350098h: 0x00000000 (0)
35009Ch: 0x00000000 (0)
3500A0h: 0x00000000 (0)
3500A4h: 0x00000000 (0)
3500A8h: 0x00000000 (0)
3500ACh: 0x000003F0 (1008)
3500B0h: 0x000C0804 (788484)
3500B4h: 0x00004A09 (18953)
3500B8h: 0x2040A000 (541106176)
3500BCh: 0x04008109 (67141897)
3500C0h: 0x02040200 (33817088)
3500C4h: 0xF0000807 (-268433401)
3500C8h: 0x00000000 (0)
3500CCh: 0x00000000 (0)
3500D0h: 0x00000000 (0)
3500D4h: 0x00000000 (0)
3500D8h: 0x00000005 (5)
3500DCh: 0x00000000 (0)
3500E0h: 0x00000000 (0)
3500E4h: 0x00000000 (0)
3500E8h: 0x00008000 (32768)
3500ECh: 0x00000000 (0)
3500F0h: 0x00000000 (0)
3500F4h: 0x97144020 (-1760280544)
3500F8h: 0xFFFF0000 (-65536)
3500FCh: 0x00000000 (0)
350100h: 0x00000000 (0)
350104h: 0x00000000 (0)
350108h: 0x01000270 (16777840)
35010Ch: 0x00010001 (65537)
350110h: 0x00001000 (4096)
350114h: 0x00000000 (0)
350118h: 0x00000010 (16)
350120h: 0x00007F50 (32592)
350124h: 0x02000001 (33554433)
350128h: 0x00000000 (0)
35012Ch: 0x00000000 (0)
350130h: 0x00000000 (0)
350134h: 0x00000001 (1)
350138h: 0x00000000 (0)
